Source,Target,Weight
7th Heaven,A Star Is Born,1
7th Heaven,Bad Girl,1
A Star Is Born,The Royal Family of Broadway,1
A Star Is Born,Dr. Jekyll and Mr. Hyde,1
A Star Is Born,The Best Years of Our Lives,1
A Star Is Born,Death of a Salesman,1
A Star Is Born,The High and the Mighty,1
A Star Is Born,Georgy Girl,1
A Star Is Born,The Verdict,1
A Star Is Born,Judgment at Nuremberg,1
A Star Is Born,Silver Linings Playbook,1
A Star Is Born,American Hustle,1
A Star Is Born,American Sniper,1
Sadie Thompson,Sunset Blvd.,1
Sunset Blvd.,The Trespasser,1
Sunset Blvd.,Double Indemnity,1
Sunset Blvd.,The Lost Weekend,1
Sunset Blvd.,Stalag 17,3
Sunset Blvd.,Network,1
Sunset Blvd.,Sabrina,1
Sunset Blvd.,Witness for the Prosecution,1
Sunset Blvd.,Some Like It Hot,1
Sunset Blvd.,The Apartment,1
Two Arabian Knights,The Front Page,1
The Front Page,All Quiet on the Western Front,1
The Crowd,The Champ,1
The Crowd,The Citadel,1
The Champ,The Big House,1
The Champ,Hallelujah,1
The Champ,The Citadel,1
The Champ,War and Peace,1
The Citadel,Hallelujah,1
The Citadel,Goodbye Mr. Chips,1
The Citadel,War and Peace,1
The Valiant,The Life of Emile Zola,1
The Life of Emile Zola,I Am a Fugitive from a Chain Gang,1
The Life of Emile Zola,Black Fury,1
The Life of Emile Zola,The Story of Louis Pasteur,1
The Life of Emile Zola,The Last Angry Man,1
The Patriot,The Love Parade,1
The Patriot,Heaven Can Wait,1
The Love Parade,Heaven Can Wait,1
Heaven Can Wait,Bonnie and Clyde,1
Heaven Can Wait,Reds,2
Heaven Can Wait,Bugsy,1
Heaven Can Wait,Shampoo,1
Heaven Can Wait,Bob & Carol & Ted & Alice,1
Madame X,Sarah and Son,1
Madame X,A Free Soul,1
A Free Soul,The Divorcee,1
A Free Soul,Their Own Desire,1
A Free Soul,Anna Christie;,1
A Free Soul,The Barretts of Wimpole Street,1
A Free Soul,Romeo and Juliet,1
A Free Soul,Marie Antoinette,1
A Free Soul,The Human Comedy,1
A Free Soul,National Velvet,1
A Free Soul,The Yearling,1
The Letter,Of Human Bondage,1
The Letter,Dangerous,1
The Letter,Jezebel,1
The Letter,Dark Victory,1
The Letter,The Little Foxes,3
The Letter,Now Voyager,1
The Letter,Mr. Skeffington,1
The Letter,All about Eve,1
The Letter,The Star,1
The Letter,What Ever Happened to Baby Jane?,1
The Letter,Dodsworth,1
The Letter,Wuthering Heights,1
The Letter,Mrs. Miniver,1
The Letter,The Best Years of Our Lives,1
The Letter,The Heiress,1
The Letter,Detective Story,1
The Letter,Roman Holiday,1
The Letter,Friendly Persuasion,1
The Letter,Ben-Hur,1
The Letter,The Collector,1
Of Human Bondage,Jezebel,1
Of Human Bondage,The Little Foxes,1
Of Human Bondage,Now Voyager,1
Of Human Bondage,Mr. Skeffington,1
Of Human Bondage,All about Eve,1
Of Human Bondage,What Ever Happened to Baby Jane?,1
Dangerous,Jezebel,1
Dangerous,The Little Foxes,1
Dangerous,Now Voyager,1
Dangerous,Mr. Skeffington,1
Dangerous,All about Eve,1
Dangerous,What Ever Happened to Baby Jane?,1
Jezebel,White Banners,1
Jezebel,Dark Victory,1
Jezebel,The Little Foxes,1
Jezebel,Now Voyager,1
Jezebel,Mr. Skeffington,1
Jezebel,All about Eve,1
Jezebel,The Star,1
Jezebel,What Ever Happened to Baby Jane?,1
Jezebel,The Children's Hour,1
Dark Victory,The Little Foxes,1
Dark Victory,Now Voyager,1
Dark Victory,Mr. Skeffington,1
Dark Victory,All about Eve,1
Dark Victory,What Ever Happened to Baby Jane?,1
The Little Foxes,Dodsworth,1
The Little Foxes,Wuthering Heights,1
The Little Foxes,Now Voyager,1
The Little Foxes,Mr. Skeffington,1
The Little Foxes,All about Eve,1
The Little Foxes,The Star,1
The Little Foxes,What Ever Happened to Baby Jane?,1
The Little Foxes,The Pride of the Yankees,1
The Little Foxes,Mrs. Miniver,3
The Little Foxes,The Best Years of Our Lives,1
The Little Foxes,The Heiress,1
The Little Foxes,Detective Story,1
The Little Foxes,Roman Holiday,1
The Little Foxes,Friendly Persuasion,1
The Little Foxes,Ben-Hur,1
The Little Foxes,The Collector,1
Now Voyager,Mr. Skeffington,1
Now Voyager,All about Eve,1
Now Voyager,The Star,1
Now Voyager,What Ever Happened to Baby Jane?,1
Now Voyager,The Song of Bernadette,1
Now Voyager,My Fair Lady,1
Mr. Skeffington,Mr. Smith Goes to Washington,1
Mr. Skeffington,Casablanca,1
Mr. Skeffington,Notorious,1
Mr. Skeffington,All about Eve,1
Mr. Skeffington,The Star,1
Mr. Skeffington,What Ever Happened to Baby Jane?,1
All about Eve,The Razor's Edge,1
All about Eve,Gentleman's Agreement,1
All about Eve,Come to the Stable,1
All about Eve,A Letter to Three Wives,1
All about Eve,The Star,1
All about Eve,What Ever Happened to Baby Jane?,1
All about Eve,The Mating Season,1
All about Eve,With a Song in My Heart,1
All about Eve,Pickup on South Street,1
All about Eve,Pillow Talk,1
All about Eve,Birdman of Alcatraz,1
All about Eve,Five Fingers,1
All about Eve,Sleuth,1
The Star,What Ever Happened to Baby Jane?,1
Dodsworth,All That Money Can Buy,1
Dodsworth,Yankee Doodle Dandy,1
Dodsworth,The Treasure of the Sierra Madre,1
Dodsworth,Love Affair,1
Dodsworth,Wuthering Heights,1
Dodsworth,Mrs. Miniver,1
Dodsworth,The Best Years of Our Lives,1
Dodsworth,The Heiress,1
Dodsworth,Detective Story,1
Dodsworth,Roman Holiday,1
Dodsworth,Friendly Persuasion,1
Dodsworth,Ben-Hur,1
Dodsworth,The Collector,1
Wuthering Heights,Rebecca,1
Wuthering Heights,Henry V,1
Wuthering Heights,Hamlet,2
Wuthering Heights,The Entertainer,1
Wuthering Heights,Othello,1
Wuthering Heights,Sleuth,1
Wuthering Heights,Marathon Man,1
Wuthering Heights,The Boys from Brazil,1
Wuthering Heights,Mrs. Miniver,1
Wuthering Heights,The Best Years of Our Lives,1
Wuthering Heights,The Heiress,1
Wuthering Heights,Detective Story,1
Wuthering Heights,Roman Holiday,1
Wuthering Heights,Friendly Persuasion,1
Wuthering Heights,Ben-Hur,1
Wuthering Heights,The Collector,1
Mrs. Miniver,Night Must Fall,1
Mrs. Miniver,Goodbye  Mr. Chips,1
Mrs. Miniver,Blossoms in the Dust,1
Mrs. Miniver,The Pride of the Yankees,1
Mrs. Miniver,Madame Curie,3
Mrs. Miniver,Mrs. Parkington,1
Mrs. Miniver,The Valley of Decision,1
Mrs. Miniver,Sunrise at Campobello,1
Mrs. Miniver,The Best Years of Our Lives,1
Mrs. Miniver,The Heiress,1
Mrs. Miniver,Detective Story,1
Mrs. Miniver,Roman Holiday,1
Mrs. Miniver,Friendly Persuasion,1
Mrs. Miniver,Ben-Hur,1
Mrs. Miniver,The Collector,1
The Best Years of Our Lives,The Royal Family of Broadway,1
The Best Years of Our Lives,Dr. Jekyll and Mr. Hyde,1
The Best Years of Our Lives,Death of a Salesman,1
The Best Years of Our Lives,The Heiress,1
The Best Years of Our Lives,Detective Story,1
The Best Years of Our Lives,Roman Holiday,1
The Best Years of Our Lives,Friendly Persuasion,1
The Best Years of Our Lives,Ben-Hur,1
The Best Years of Our Lives,The Collector,1
The Heiress,Gone with the Wind,1
The Heiress,Hold Back the Dawn,1
The Heiress,To Each His Own,1
The Heiress,The Snake Pit,1
The Heiress,Greystoke: The Legend of Tarzan  Lord of the Apes,1
The Heiress,Detective Story,1
The Heiress,Roman Holiday,1
The Heiress,Friendly Persuasion,1
The Heiress,Ben-Hur,1
The Heiress,The Collector,1
Detective Story,Caged,1
Detective Story,Interrupted Melody,1
Detective Story,The Landlord,1
Detective Story,Shampoo,1
Detective Story,Voyage of the Damned,1
Detective Story,Roman Holiday,1
Detective Story,Friendly Persuasion,1
Detective Story,Ben-Hur,1
Detective Story,The Collector,1
Roman Holiday,The Heartbreak Kid,1
Roman Holiday,Sabrina,1
Roman Holiday,The Nun's Story,1
Roman Holiday,Breakfast at Tiffany's,1
Roman Holiday,Wait until Dark,1
Roman Holiday,Friendly Persuasion,1
Roman Holiday,Ben-Hur,1
Roman Holiday,The Collector,1
Friendly Persuasion,Ben-Hur,1
Friendly Persuasion,The Collector,1
Ben-Hur,Tom Jones,1
Ben-Hur,The Collector,1
The Divine Lady,Drag;,1
The Divine Lady,Cavalcade,1
The Divine Lady,Mutiny on the Bounty,1
Drag;,Cavalcade,1
Drag;,Mutiny on the Bounty,1
Cavalcade,Mutiny on the Bounty,1
Mutiny on the Bounty,The Private Life of Henry VIII,1
Mutiny on the Bounty,It Happened One Night,1
Mutiny on the Bounty,Gone with the Wind,1
Mutiny on the Bounty,Witness for the Prosecution,1
Bulldog Drummond,Random Harvest,1
Bulldog Drummond,A Double Life,1
Random Harvest,A Double Life,1
A Double Life,Little Women,1
A Double Life,The Philadelphia Story,1
A Double Life,Born Yesterday,1
A Double Life,My Fair Lady,1
The Divorcee,Their Own Desire,1
The Divorcee,The Barretts of Wimpole Street,1
The Divorcee,Romeo and Juliet,1
The Divorcee,Marie Antoinette,1
Their Own Desire,Romeo and Juliet,1
Their Own Desire,Marie Antoinette,1
The Barretts of Wimpole Street,Romeo and Juliet,1
The Barretts of Wimpole Street,Marie Antoinette,1
Romeo and Juliet,If I Were King,1
Romeo and Juliet,Marie Antoinette,1
Anna Christie;,The Human Comedy,1
Anna Christie;,National Velvet,1
Anna Christie;,The Yearling,1
The Human Comedy,Babes in Arms,1
The Human Comedy,The Bold and the Brave,1
The Human Comedy,The Black Stallion,1
The Human Comedy,National Velvet,1
The Human Comedy,The Yearling,1
National Velvet,The Song of Bernadette,1
National Velvet,Gentleman's Agreement,1
National Velvet,The Yearling,1
The Yearling,The Keys of the Kingdom,1
The Yearling,Gentleman's Agreement,1
The Yearling,Twelve O'Clock High,1
The Yearling,To Kill a Mockingbird,1
The Yearling,Johnny Belinda,1
The Yearling,The Blue Veil,1
The Yearling,Magnificent Obsession,1
Skippy,Boys Town,1
Boys Town,San Francisco,1
Boys Town,Captains Courageous,1
Boys Town,Father of the Bride,1
Boys Town,Bad Day at Black Rock,1
Boys Town,The Old Man and the Sea,1
Boys Town,Inherit the Wind,1
Boys Town,Judgment at Nuremberg,1
Boys Town,Guess Who's Coming to Dinner,1
Cimarron,Theodora Goes Wild,1
Cimarron,The Awful Truth,1
Cimarron,Love Affair,1
Cimarron,I Remember Mama,1
Theodora Goes Wild,The Awful Truth,1
Theodora Goes Wild,Love Affair,1
Theodora Goes Wild,I Remember Mama,1
The Awful Truth,Love Affair,1
The Awful Truth,I Remember Mama,1
The Awful Truth,Going My Way,1
The Awful Truth,The Bells of St. Mary's,1
Love Affair,I Remember Mama,1
The Royal Family of Broadway,Death of a Salesman,1
Death of a Salesman,Dr. Jekyll and Mr. Hyde,1
Death of a Salesman,Baby Doll,1
Morocco,Shanghai Express,1
The Sin of Madelon Claudet,Airport,1
Airport,Lonelyhearts,1
Airport,Interiors,1
Airport,Reds,1
Berkeley Square,Pygmalion,1
Pygmalion,Separate Tables,1
Pygmalion,A Man for All Seasons,1
The Private Life of Henry VIII,Witness for the Prosecution,1
Witness for the Prosecution,Double Indemnity,1
Witness for the Prosecution,The Lost Weekend,1
Witness for the Prosecution,Come to the Stable,1
Witness for the Prosecution,Stalag 17,1
Witness for the Prosecution,Sabrina,1
Witness for the Prosecution,Some Like It Hot,1
Witness for the Prosecution,The Apartment,1
Morning Glory,The Philadelphia Story,1
Morning Glory,The African Queen,1
Morning Glory,Summertime,1
Morning Glory,Suddenly ,1
Morning Glory,Guess Who's Coming to Dinner,1
Morning Glory,The Lion in Winter,1
Morning Glory,On Golden Pond,1
The Philadelphia Story,Little Women,1
The Philadelphia Story,Alice Adams,1
The Philadelphia Story,Mr. Smith Goes to Washington,1
The Philadelphia Story,It's a Wonderful Life,1
The Philadelphia Story,Harvey,1
The Philadelphia Story,Anatomy of a Murder,1
The Philadelphia Story,Woman of the Year,1
The Philadelphia Story,The African Queen,1
The Philadelphia Story,Summertime,1
The Philadelphia Story,The Rainmaker,1
The Philadelphia Story,Suddenly ,1
The Philadelphia Story,Long Day's Journey into Night,1
The Philadelphia Story,Guess Who's Coming to Dinner,1
The Philadelphia Story,The Lion in Winter,1
The Philadelphia Story,On Golden Pond,1
The Philadelphia Story,Born Yesterday,1
The Philadelphia Story,My Fair Lady,1
The African Queen,Alice Adams,1
The African Queen,Woman of the Year,1
The African Queen,Casablanca,1
The African Queen,The Treasure of the Sierra Madre,1
The African Queen,The Asphalt Jungle,1
The African Queen,The Caine Mutiny,1
The African Queen,Summertime,1
The African Queen,The Rainmaker,1
The African Queen,Suddenly ,1
The African Queen,Long Day's Journey into Night,1
The African Queen,Guess Who's Coming to Dinner,1
The African Queen,The Lion in Winter,1
The African Queen,On Golden Pond,1
The African Queen,Moulin Rouge,1
The African Queen,The Cardinal,1
The African Queen,Prizzi's Honor,1
Summertime,Alice Adams,1
Summertime,Woman of the Year,1
Summertime,Brief Encounter,1
Summertime,Great Expectations,1
Summertime,The Rainmaker,1
Summertime,Suddenly  ,1
Summertime,Long Day's Journey into Night,1
Summertime,Guess Who's Coming to Dinner,1
Summertime,The Lion in Winter,1
Summertime,On Golden Pond,1
Summertime,The Bridge on the River Kwai,1
Summertime,Lawrence of Arabia,1
Summertime,Doctor Zhivago,1
Summertime,A Passage to India,1
Suddenly  Last Summer ,Alice Adams,1
Suddenly  Last Summer ,Woman of the Year,1
Suddenly  Last Summer ,The Rainmaker,1
Suddenly  Last Summer ,Raintree County,1
Suddenly  Last Summer ,Cat on a Hot Tin Roof,1
Suddenly  Last Summer ,Long Day's Journey into Night,1
Suddenly  Last Summer ,Guess Who's Coming to Dinner,1
Suddenly  Last Summer ,The Lion in Winter,1
Suddenly  Last Summer ,On Golden Pond,1
Suddenly  Last Summer ,Butterfield 8,1
Suddenly  Last Summer ,Who's Afraid of Virginia Woolf?,1
Guess Who's Coming to Dinner,Alice Adams,1
Guess Who's Coming to Dinner,San Francisco,1
Guess Who's Coming to Dinner,Captains Courageous,1
Guess Who's Coming to Dinner,Woman of the Year,1
Guess Who's Coming to Dinner,The Luck of the Irish,1
Guess Who's Coming to Dinner,Father of the Bride,1
Guess Who's Coming to Dinner,Bad Day at Black Rock,1
Guess Who's Coming to Dinner,The Rainmaker,1
Guess Who's Coming to Dinner,The Defiant Ones,1
Guess Who's Coming to Dinner,The Old Man and the Sea,1
Guess Who's Coming to Dinner,Inherit the Wind,1
Guess Who's Coming to Dinner,Judgment at Nuremberg,3
Guess Who's Coming to Dinner,Long Day's Journey into Night,1
Guess Who's Coming to Dinner,The Lion in Winter,1
Guess Who's Coming to Dinner,On Golden Pond,1
The Lion in Winter,Alice Adams,1
The Lion in Winter,Goodbye  Mr. Chips,1
The Lion in Winter,Woman of the Year,1
The Lion in Winter,The Rainmaker,1
The Lion in Winter,Lawrence of Arabia,1
The Lion in Winter,Long Day's Journey into Night,1
The Lion in Winter,Becket,1
The Lion in Winter,The Ruling Class,1
The Lion in Winter,The Stunt Man,1
The Lion in Winter,My Favorite Year,1
The Lion in Winter,Venus,1
The Lion in Winter,On Golden Pond,1
On Golden Pond,Alice Adams,1
On Golden Pond,The Grapes of Wrath,1
On Golden Pond,Woman of the Year,1
On Golden Pond,The Rainmaker,1
On Golden Pond,Long Day's Journey into Night,1
On Golden Pond,They Shoot Horses  Don't They?,1
On Golden Pond,Klute,1
On Golden Pond,Julia,1
On Golden Pond,Coming Home,1
On Golden Pond,The China Syndrome,1
On Golden Pond,The Morning After,1
Lady for a Day,It Happened One Night,1
Lady for a Day,Mr. Deeds Goes to Town,1
Lady for a Day,You Can't Take It with You,1
Lady for a Day,Mr. Smith Goes to Washington,1
Lady for a Day,It's a Wonderful Life,1
It Happened One Night,Gone with the Wind,1
It Happened One Night,Private Worlds,1
It Happened One Night,Since You Went Away,1
It Happened One Night,Mr. Deeds Goes to Town,1
It Happened One Night,You Can't Take It with You,1
It Happened One Night,Mr. Smith Goes to Washington,1
It Happened One Night,It's a Wonderful Life,1
Mr. Deeds Goes to Town,Sergeant York,1
Mr. Deeds Goes to Town,The Pride of the Yankees,1
Mr. Deeds Goes to Town,For Whom the Bell Tolls,1
Mr. Deeds Goes to Town,High Noon,1
Mr. Deeds Goes to Town,You Can't Take It with You,1
Mr. Deeds Goes to Town,Mr. Smith Goes to Washington,1
Mr. Deeds Goes to Town,It's a Wonderful Life,1
You Can't Take It with You,Mr. Smith Goes to Washington,1
You Can't Take It with You,It's a Wonderful Life,1
Mr. Smith Goes to Washington,It's a Wonderful Life,3
Mr. Smith Goes to Washington,Harvey,1
Mr. Smith Goes to Washington,Anatomy of a Murder,1
Mr. Smith Goes to Washington,Casablanca,1
Mr. Smith Goes to Washington,Notorious,1
It's a Wonderful Life,Harvey,1
It's a Wonderful Life,Anatomy of a Murder,1
Little Women,Born Yesterday,1
Little Women,My Fair Lady,1
Little Women,The Age of Innocence,1
Little Women,Atonement,1
Little Women,Brooklyn,1
Little Women,Lady Bird,1
Born Yesterday,My Fair Lady,1
My Fair Lady,The Song of Bernadette,1
My Fair Lady,Cleopatra,1
Atonement,Lady Bird,1
Brooklyn,Lady Bird,1
Gone with the Wind,A Streetcar Named Desire,1
Gone with the Wind,Hold Back the Dawn,1
Gone with the Wind,To Each His Own,1
Gone with the Wind,The Snake Pit,1
Private Worlds,Since You Went Away,1
Since You Went Away,The Pied Piper,1
Since You Went Away,The Song of Bernadette,1
Since You Went Away,Love Letters,1
Since You Went Away,Duel in the Sun,1
Since You Went Away,Love Is a Many-Splendored Thing,1
The Thin Man,My Man Godfrey,1
The Thin Man,Life with Father,1
The Thin Man,San Francisco,1
My Man Godfrey,Life with Father,1
My Man Godfrey,In Old Chicago,1
My Man Godfrey,Stage Door,1
San Francisco,Captains Courageous,1
San Francisco,Father of the Bride,1
San Francisco,Bad Day at Black Rock,1
San Francisco,The Old Man and the Sea,1
San Francisco,Inherit the Wind,1
San Francisco,Judgment at Nuremberg,1
The Informer,Stagecoach,1
The Informer,The Grapes of Wrath,1
The Informer,How Green Was My Valley,1
Stagecoach,The Hurricane,1
Stagecoach,The Grapes of Wrath,1
Stagecoach,How Green Was My Valley,1
Stagecoach,The Quiet Man,1
The Grapes of Wrath,How Green Was My Valley,1
The Grapes of Wrath,The Quiet Man,1
How Green Was My Valley,The Quiet Man,1
Captain Blood,Angels with Dirty Faces,1
Captain Blood,Four Daughters,1
Captain Blood,Yankee Doodle Dandy,1
Captain Blood,Casablanca,1
Angels with Dirty Faces,Yankee Doodle Dandy,3
Angels with Dirty Faces,Love Me or Leave Me,1
Angels with Dirty Faces,Four Daughters,1
Angels with Dirty Faces,Casablanca,1
Four Daughters,Body and Soul,1
Four Daughters,Yankee Doodle Dandy,1
Four Daughters,Casablanca,1
Yankee Doodle Dandy,All That Money Can Buy,1
Yankee Doodle Dandy,Love Me or Leave Me,1
Yankee Doodle Dandy,The Treasure of the Sierra Madre,1
Yankee Doodle Dandy,Casablanca,1
Casablanca,The Caine Mutiny,1
Casablanca,Notorious,1
Sergeant York,Come and Get It,1
Sergeant York,Kentucky,1
Sergeant York,The Westerner,1
Sergeant York,The Pride of the Yankees,1
Sergeant York,For Whom the Bell Tolls,1
Sergeant York,High Noon,1
The Pride of the Yankees,For Whom the Bell Tolls,1
The Pride of the Yankees,High Noon,1
For Whom the Bell Tolls,The General Died at Dawn,1
For Whom the Bell Tolls,High Noon,1
For Whom the Bell Tolls,Gaslight,1
For Whom the Bell Tolls,The Bells of St. Mary's,1
For Whom the Bell Tolls,Joan of Arc,1
For Whom the Bell Tolls,Anastasia,1
For Whom the Bell Tolls,Murder on the Orient Express,1
For Whom the Bell Tolls,Autumn Sonata,1
High Noon,The Search,1
