Label,Id
The Noose,The Noose
The Last Command,The Last Command
A Ship Comes In,A Ship Comes In
7th Heaven,7th Heaven
Sadie Thompson,Sadie Thompson
Two Arabian Knights,Two Arabian Knights
Speedy,Speedy
Sorrell and Son,Sorrell and Son
The Crowd,The Crowd
Thunderbolt,Thunderbolt
In Old Arizona,In Old Arizona
Alibi,Alibi
The Valiant,The Valiant
The Patriot,The Patriot
Madame X,Madame X
The Barker,The Barker
The Letter,The Letter
The Divine Lady,The Divine Lady
The Broadway Melody,The Broadway Melody
Coquette,Coquette
Drag;,Drag;
Disraeli,Disraeli
The Green Goddess,The Green Goddess
The Big House,The Big House
The Big Pond,The Big Pond
Bulldog Drummond,Bulldog Drummond
The Rogue Song,The Rogue Song
The Devil's Holiday,The Devil's Holiday
Sarah and Son,Sarah and Son
Anna Christie,Anna Christie
The Divorcee,The Divorcee
Their Own Desire,Their Own Desire
The Trespasser,The Trespasser
Anna Christie;,Anna Christie;
The Love Parade,The Love Parade
All Quiet on the Western Front,All Quiet on the Western Front
Hallelujah,Hallelujah
A Free Soul,A Free Soul
Skippy,Skippy
Cimarron,Cimarron
The Royal Family of Broadway,The Royal Family of Broadway
The Front Page,The Front Page
Morocco,Morocco
Min and Bill,Min and Bill
Holiday,Holiday
The Champ,The Champ
The Guardsman,The Guardsman
Dr. Jekyll and Mr. Hyde,Dr. Jekyll and Mr. Hyde
Emma,Emma
The Sin of Madelon Claudet,The Sin of Madelon Claudet
Bad Girl,Bad Girl
Shanghai Express,Shanghai Express
Berkeley Square,Berkeley Square
The Private Life of Henry VIII,The Private Life of Henry VIII
I Am a Fugitive from a Chain Gang,I Am a Fugitive from a Chain Gang
Morning Glory,Morning Glory
Lady for a Day,Lady for a Day
Cavalcade,Cavalcade
Little Women,Little Women
It Happened One Night,It Happened One Night
The Affairs of Cellini,The Affairs of Cellini
The Thin Man,The Thin Man
Of Human Bondage,Of Human Bondage
One Night of Love,One Night of Love
The Barretts of Wimpole Street,The Barretts of Wimpole Street
Mutiny on the Bounty,Mutiny on the Bounty
The Informer,The Informer
Black Fury,Black Fury
Escape Me Never,Escape Me Never
Private Worlds,Private Worlds
Dangerous,Dangerous
Alice Adams,Alice Adams
Becky Sharp,Becky Sharp
The Dark Angel,The Dark Angel
Captain Blood,Captain Blood
The Lives of a Bengal Lancer,The Lives of a Bengal Lancer
Mr. Deeds Goes to Town,Mr. Deeds Goes to Town
Dodsworth,Dodsworth
The Story of Louis Pasteur,The Story of Louis Pasteur
My Man Godfrey,My Man Godfrey
San Francisco,San Francisco
Come and Get It,Come and Get It
Pigskin Parade,Pigskin Parade
Romeo and Juliet,Romeo and Juliet
The General Died at Dawn,The General Died at Dawn
Theodora Goes Wild,Theodora Goes Wild
Valiant Is the Word for Carrie,Valiant Is the Word for Carrie
The Great Ziegfeld,The Great Ziegfeld
The Gorgeous Hussy,The Gorgeous Hussy
These Three,These Three
Anthony Adverse,Anthony Adverse
Conquest,Conquest
A Star Is Born,A Star Is Born
Night Must Fall,Night Must Fall
The Life of Emile Zola,The Life of Emile Zola
Captains Courageous,Captains Courageous
The Awful Truth,The Awful Truth
The Hurricane,The Hurricane
Lost Horizon,Lost Horizon
Topper,Topper
Camille,Camille
The Good Earth,The Good Earth
Stella Dallas,Stella Dallas
In Old Chicago,In Old Chicago
Stage Door,Stage Door
Dead End,Dead End
Algiers,Algiers
Angels with Dirty Faces,Angels with Dirty Faces
The Citadel,The Citadel
Pygmalion,Pygmalion
Boys Town,Boys Town
Kentucky,Kentucky
Four Daughters,Four Daughters
Marie Antoinette,Marie Antoinette
If I Were King,If I Were King
White Banners,White Banners
Jezebel,Jezebel
Three Comrades,Three Comrades
Of Human Hearts,Of Human Hearts
Merrily We Live,Merrily We Live
You Can't Take It with You,You Can't Take It with You
The Great Waltz,The Great Waltz
"Goodbye, Mr. Chips","Goodbye, Mr. Chips"
Gone with the Wind,Gone with the Wind
Wuthering Heights,Wuthering Heights
Babes in Arms,Babes in Arms
Mr. Smith Goes to Washington,Mr. Smith Goes to Washington
Juarez,Juarez
Beau Geste,Beau Geste
Stagecoach,Stagecoach
Dark Victory,Dark Victory
Love Affair,Love Affair
Ninotchka,Ninotchka
Drums along the Mohawk,Drums along the Mohawk
The Great Dictator,The Great Dictator
The Grapes of Wrath,The Grapes of Wrath
Abe Lincoln in Illinois,Abe Lincoln in Illinois
Rebecca,Rebecca
The Philadelphia Story,The Philadelphia Story
Foreign Correspondent,Foreign Correspondent
The Westerner,The Westerner
They Knew What They Wanted,They Knew What They Wanted
Kitty Foyle,Kitty Foyle
Our Town,Our Town
"All This, and Heaven Too","All This, and Heaven Too"
Primrose Path,Primrose Path
Sergeant York,Sergeant York
Penny Serenade,Penny Serenade
All That Money Can Buy,All That Money Can Buy
Here Comes Mr. Jordan,Here Comes Mr. Jordan
Citizen Kane,Citizen Kane
The Devil and Miss Jones,The Devil and Miss Jones
How Green Was My Valley,How Green Was My Valley
The Maltese Falcon,The Maltese Falcon
The Little Foxes,The Little Foxes
Hold Back the Dawn,Hold Back the Dawn
Suspicion,Suspicion
Blossoms in the Dust,Blossoms in the Dust
Ball of Fire,Ball of Fire
The Great Lie,The Great Lie
Yankee Doodle Dandy,Yankee Doodle Dandy
Random Harvest,Random Harvest
The Pride of the Yankees,The Pride of the Yankees
Mrs. Miniver,Mrs. Miniver
The Pied Piper,The Pied Piper
Wake Island,Wake Island
Johnny Eager,Johnny Eager
Tortilla Flat,Tortilla Flat
"Now, Voyager","Now, Voyager"
Woman of the Year,Woman of the Year
My Sister Eileen,My Sister Eileen
The Magnificent Ambersons,The Magnificent Ambersons
Kings Row,Kings Row
Casablanca,Casablanca
For Whom the Bell Tolls,For Whom the Bell Tolls
Watch on the Rhine,Watch on the Rhine
Madame Curie,Madame Curie
The Human Comedy,The Human Comedy
The Song of Bernadette,The Song of Bernadette
The More the Merrier,The More the Merrier
Sahara,Sahara
The Constant Nymph,The Constant Nymph
So Proudly We Hail!,So Proudly We Hail!
Heaven Can Wait,Heaven Can Wait
Gaslight,Gaslight
Going My Way,Going My Way
None but the Lonely Heart,None but the Lonely Heart
Wilson,Wilson
The Seventh Cross,The Seventh Cross
Mr. Skeffington,Mr. Skeffington
Laura,Laura
Since You Went Away,Since You Went Away
Mrs. Parkington,Mrs. Parkington
Double Indemnity,Double Indemnity
Dragon Seed,Dragon Seed
Lifeboat,Lifeboat
The Bells of St. Mary's,The Bells of St. Mary's
Anchors Aweigh,Anchors Aweigh
The Lost Weekend,The Lost Weekend
The Keys of the Kingdom,The Keys of the Kingdom
A Song to Remember,A Song to Remember
Spellbound,Spellbound
The Corn Is Green,The Corn Is Green
A Tree Grows in Brooklyn,A Tree Grows in Brooklyn
G. I. Joe,G. I. Joe
A Medal for Benny,A Medal for Benny
Mildred Pierce,Mildred Pierce
The Valley of Decision,The Valley of Decision
Love Letters,Love Letters
Leave Her to Heaven,Leave Her to Heaven
The Picture of Dorian Gray,The Picture of Dorian Gray
National Velvet,National Velvet
The Southerner,The Southerner
The Best Years of Our Lives,The Best Years of Our Lives
Henry V,Henry V
The Jolson Story,The Jolson Story
The Yearling,The Yearling
It's a Wonderful Life,It's a Wonderful Life
The Green Years,The Green Years
Notorious,Notorious
The Razor's Edge,The Razor's Edge
To Each His Own,To Each His Own
Brief Encounter,Brief Encounter
Duel in the Sun,Duel in the Sun
Sister Kenny,Sister Kenny
The Spiral Staircase,The Spiral Staircase
Saratoga Trunk,Saratoga Trunk
Anna and the King of Siam,Anna and the King of Siam
The Killers,The Killers
A Double Life,A Double Life
Body and Soul,Body and Soul
Gentleman's Agreement,Gentleman's Agreement
Life with Father,Life with Father
Mourning Becomes Electra,Mourning Becomes Electra
The Farmer's Daughter,The Farmer's Daughter
Ride the Pink Horse,Ride the Pink Horse
Miracle on 34th Street,Miracle on 34th Street
Crossfire,Crossfire
Kiss of Death,Kiss of Death
Possessed,Possessed
Smash-Up--The Story of a Woman,Smash-Up--The Story of a Woman
The Paradine Case,The Paradine Case
The Egg and I,The Egg and I
The Bishop's Wife,The Bishop's Wife
Great Expectations,Great Expectations
Johnny Belinda,Johnny Belinda
The Search,The Search
When My Baby Smiles at Me,When My Baby Smiles at Me
Hamlet,Hamlet
Sitting Pretty,Sitting Pretty
Joan of Arc,Joan of Arc
I Remember Mama,I Remember Mama
The Treasure of the Sierra Madre,The Treasure of the Sierra Madre
The Luck of the Irish,The Luck of the Irish
The Snake Pit,The Snake Pit
"Sorry, Wrong Number","Sorry, Wrong Number"
Key Largo,Key Largo
All the King's Men,All the King's Men
Champion,Champion
Twelve O'Clock High,Twelve O'Clock High
The Hasty Heart,The Hasty Heart
Sands of Iwo Jima,Sands of Iwo Jima
The Heiress,The Heiress
Battleground,Battleground
Pinky,Pinky
My Foolish Heart,My Foolish Heart
"Edward, My Son","Edward, My Son"
Come to the Stable,Come to the Stable
The Fallen Idol,The Fallen Idol
A Letter to Three Wives,A Letter to Three Wives
The Magnificent Yankee,The Magnificent Yankee
Cyrano de Bergerac,Cyrano de Bergerac
Sunset Blvd.,Sunset Blvd.
Harvey,Harvey
Father of the Bride,Father of the Bride
Broken Arrow,Broken Arrow
Mister 880,Mister 880
The Asphalt Jungle,The Asphalt Jungle
All about Eve,All about Eve
Born Yesterday,Born Yesterday
Caged,Caged
The Third Man,The Third Man
The African Queen,The African Queen
A Streetcar Named Desire,A Streetcar Named Desire
A Place in the Sun,A Place in the Sun
Bright Victory,Bright Victory
Death of a Salesman,Death of a Salesman
Quo Vadis,Quo Vadis
Come Fill the Cup,Come Fill the Cup
Detective Story,Detective Story
The Blue Veil,The Blue Veil
The Mating Season,The Mating Season
An American in Paris,An American in Paris
Viva Zapata!,Viva Zapata!
High Noon,High Noon
The Bad and the Beautiful,The Bad and the Beautiful
Moulin Rouge,Moulin Rouge
The Lavender Hill Mob,The Lavender Hill Mob
My Cousin Rachel,My Cousin Rachel
The Big Sky,The Big Sky
The Quiet Man,The Quiet Man
Sudden Fear,Sudden Fear
"Come Back, Little Sheba","Come Back, Little Sheba"
The Star,The Star
The Member of the Wedding,The Member of the Wedding
With a Song in My Heart,With a Song in My Heart
Singin' in the Rain,Singin' in the Rain
Five Fingers,Five Fingers
The Greatest Show on Earth,The Greatest Show on Earth
Julius Caesar,Julius Caesar
The Robe,The Robe
From Here to Eternity,From Here to Eternity
Stalag 17,Stalag 17
Roman Holiday,Roman Holiday
Shane,Shane
Lili,Lili
Mogambo,Mogambo
The Moon Is Blue,The Moon Is Blue
Hondo,Hondo
Torch Song,Torch Song
Pickup on South Street,Pickup on South Street
The Caine Mutiny,The Caine Mutiny
On the Waterfront,On the Waterfront
The Country Girl,The Country Girl
Adventures of Robinson Crusoe,Adventures of Robinson Crusoe
The Barefoot Contessa,The Barefoot Contessa
Carmen Jones,Carmen Jones
Sabrina,Sabrina
Magnificent Obsession,Magnificent Obsession
Executive Suite,Executive Suite
Broken Lance,Broken Lance
The High and the Mighty,The High and the Mighty
Rear Window,Rear Window
Marty,Marty
Love Me or Leave Me,Love Me or Leave Me
East of Eden,East of Eden
The Man with the Golden Arm,The Man with the Golden Arm
Bad Day at Black Rock,Bad Day at Black Rock
Trial,Trial
Mister Roberts,Mister Roberts
Rebel without a Cause,Rebel without a Cause
Picnic,Picnic
I'll Cry Tomorrow,I'll Cry Tomorrow
Summertime,Summertime
Love Is a Many-Splendored Thing,Love Is a Many-Splendored Thing
The Rose Tattoo,The Rose Tattoo
Interrupted Melody,Interrupted Melody
Pete Kelly's Blues,Pete Kelly's Blues
The King and I,The King and I
Giant,Giant
Lust for Life,Lust for Life
Richard III,Richard III
Bus Stop,Bus Stop
Friendly Persuasion,Friendly Persuasion
The Bold and the Brave,The Bold and the Brave
Written on the Wind,Written on the Wind
Baby Doll,Baby Doll
Anastasia,Anastasia
The Rainmaker,The Rainmaker
The Bad Seed,The Bad Seed
Around the World in 80 Days,Around the World in 80 Days
War and Peace,War and Peace
Sayonara,Sayonara
A Hatful of Rain,A Hatful of Rain
The Bridge on the River Kwai,The Bridge on the River Kwai
Witness for the Prosecution,Witness for the Prosecution
Wild Is the Wind,Wild Is the Wind
A Farewell to Arms,A Farewell to Arms
Peyton Place,Peyton Place
"Heaven Knows, Mr. Allison","Heaven Knows, Mr. Allison"
Raintree County,Raintree County
The Three Faces of Eve,The Three Faces of Eve
The Bachelor Party,The Bachelor Party
12 Angry Men,12 Angry Men
The Defiant Ones,The Defiant Ones
Cat on a Hot Tin Roof,Cat on a Hot Tin Roof
Separate Tables,Separate Tables
The Old Man and the Sea,The Old Man and the Sea
The Brothers Karamazov,The Brothers Karamazov
The Big Country,The Big Country
Some Came Running,Some Came Running
Teacher's Pet,Teacher's Pet
I Want to Live!,I Want to Live!
Auntie Mame,Auntie Mame
Lonelyhearts,Lonelyhearts
Gigi,Gigi
The Inn of the Sixth Happiness,The Inn of the Sixth Happiness
Room at the Top,Room at the Top
Ben-Hur,Ben-Hur
Some Like It Hot,Some Like It Hot
The Last Angry Man,The Last Angry Man
Anatomy of a Murder,Anatomy of a Murder
The Young Philadelphians,The Young Philadelphians
The Diary of Anne Frank,The Diary of Anne Frank
Pillow Talk,Pillow Talk
The Nun's Story,The Nun's Story
"Suddenly, Last Summer","Suddenly, Last Summer"
Imitation of Life,Imitation of Life
Sons and Lovers,Sons and Lovers
Elmer Gantry,Elmer Gantry
The Apartment,The Apartment
The Entertainer,The Entertainer
Inherit the Wind,Inherit the Wind
"Murder, Inc.","Murder, Inc."
Exodus,Exodus
Spartacus,Spartacus
The Alamo,The Alamo
Sunrise at Campobello,Sunrise at Campobello
The Sundowners,The Sundowners
Never on Sunday,Never on Sunday
Butterfield 8,Butterfield 8
The Dark at the Top of the Stairs,The Dark at the Top of the Stairs
Psycho,Psycho
Fanny,Fanny
The Hustler,The Hustler
Judgment at Nuremberg,Judgment at Nuremberg
The Mark,The Mark
West Side Story,West Side Story
Pocketful of Miracles,Pocketful of Miracles
Breakfast at Tiffany's,Breakfast at Tiffany's
Two Women,Two Women
Summer and Smoke,Summer and Smoke
Splendor in the Grass,Splendor in the Grass
The Children's Hour,The Children's Hour
The Roman Spring of Mrs. Stone,The Roman Spring of Mrs. Stone
The Guns of Navarone,The Guns of Navarone
La Dolce Vita,La Dolce Vita
Birdman of Alcatraz,Birdman of Alcatraz
Days of Wine and Roses,Days of Wine and Roses
Divorce--Italian Style,Divorce--Italian Style
Lawrence of Arabia,Lawrence of Arabia
To Kill a Mockingbird,To Kill a Mockingbird
Sweet Bird of Youth,Sweet Bird of Youth
What Ever Happened to Baby Jane?,What Ever Happened to Baby Jane?
Billy Budd,Billy Budd
The Miracle Worker,The Miracle Worker
Long Day's Journey into Night,Long Day's Journey into Night
The Manchurian Candidate,The Manchurian Candidate
David and Lisa,David and Lisa
Tom Jones,Tom Jones
This Sporting Life,This Sporting Life
Cleopatra,Cleopatra
Hud,Hud
Lilies of the Field,Lilies of the Field
Twilight of Honor,Twilight of Honor
"Captain Newman, M.D.","Captain Newman, M.D."
The Cardinal,The Cardinal
The L-Shaped Room,The L-Shaped Room
Irma La Douce,Irma La Douce
Love with the Proper Stranger,Love with the Proper Stranger
The V.I.P.s,The V.I.P.s
America America,America America
Federico Fellini's 8-1/2,Federico Fellini's 8-1/2
Becket,Becket
My Fair Lady,My Fair Lady
Zorba the Greek,Zorba the Greek
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb
Seven Days in May,Seven Days in May
The Best Man,The Best Man
Topkapi,Topkapi
Mary Poppins,Mary Poppins
The Pumpkin Eater,The Pumpkin Eater
Marriage Italian Style,Marriage Italian Style
The Unsinkable Molly Brown,The Unsinkable Molly Brown
Seance on a Wet Afternoon,Seance on a Wet Afternoon
The Chalk Garden,The Chalk Garden
The Night of the Iguana,The Night of the Iguana
"Hush...Hush, Sweet Charlotte","Hush...Hush, Sweet Charlotte"
The Spy Who Came In from the Cold,The Spy Who Came In from the Cold
Cat Ballou,Cat Ballou
Othello,Othello
The Pawnbroker,The Pawnbroker
Ship of Fools,Ship of Fools
A Thousand Clowns,A Thousand Clowns
The Flight of the Phoenix,The Flight of the Phoenix
Doctor Zhivago,Doctor Zhivago
The Sound of Music,The Sound of Music
Darling,Darling
The Collector,The Collector
A Patch of Blue,A Patch of Blue
Inside Daisy Clover,Inside Daisy Clover
Woman in the Dunes,Woman in the Dunes
The Russians Are Coming The Russians Are Coming,The Russians Are Coming The Russians Are Coming
Who's Afraid of Virginia Woolf?,Who's Afraid of Virginia Woolf?
Alfie,Alfie
The Sand Pebbles,The Sand Pebbles
A Man for All Seasons,A Man for All Seasons
Georgy Girl,Georgy Girl
The Fortune Cookie,The Fortune Cookie
A Man and a Woman,A Man and a Woman
The Shop on Main Street,The Shop on Main Street
Morgan!,Morgan!
Hawaii,Hawaii
You're a Big Boy Now,You're a Big Boy Now
Blow-Up,Blow-Up
The Professionals,The Professionals
Bonnie and Clyde,Bonnie and Clyde
The Graduate,The Graduate
Cool Hand Luke,Cool Hand Luke
In the Heat of the Night,In the Heat of the Night
Guess Who's Coming to Dinner,Guess Who's Coming to Dinner
The Dirty Dozen,The Dirty Dozen
The Whisperers,The Whisperers
Wait until Dark,Wait until Dark
Thoroughly Modern Millie,Thoroughly Modern Millie
Barefoot in the Park,Barefoot in the Park
In Cold Blood,In Cold Blood
The Heart Is a Lonely Hunter,The Heart Is a Lonely Hunter
The Fixer,The Fixer
Oliver!,Oliver!
The Lion in Winter,The Lion in Winter
Charly,Charly
The Subject Was Roses,The Subject Was Roses
Faces,Faces
Star!,Star!
The Producers,The Producers
Isadora,Isadora
Funny Girl,Funny Girl
"Rachel, Rachel","Rachel, Rachel"
Rosemary's Baby,Rosemary's Baby
The Battle of Algiers,The Battle of Algiers
2001: A Space Odyssey,2001: A Space Odyssey
Anne of the Thousand Days,Anne of the Thousand Days
Midnight Cowboy,Midnight Cowboy
True Grit,True Grit
The Reivers,The Reivers
Bob & Carol & Ted & Alice,Bob & Carol & Ted & Alice
Easy Rider,Easy Rider
"They Shoot Horses, Don't They?","They Shoot Horses, Don't They?"
The Sterile Cuckoo,The Sterile Cuckoo
The Happy Ending,The Happy Ending
The Prime of Miss Jean Brodie,The Prime of Miss Jean Brodie
Last Summer,Last Summer
Cactus Flower,Cactus Flower
Alice's Restaurant,Alice's Restaurant
Butch Cassidy and the Sundance Kid,Butch Cassidy and the Sundance Kid
Z,Z
I Never Sang for My Father,I Never Sang for My Father
The Great White Hope,The Great White Hope
Five Easy Pieces,Five Easy Pieces
Love Story,Love Story
Patton,Patton
Lovers and Other Strangers,Lovers and Other Strangers
Little Big Man,Little Big Man
Ryan's Daughter,Ryan's Daughter
Women in Love,Women in Love
Diary of a Mad Housewife,Diary of a Mad Housewife
The Landlord,The Landlord
Airport,Airport
M*A*S*H,M*A*S*H
Fellini Satyricon,Fellini Satyricon
Sunday Bloody Sunday,Sunday Bloody Sunday
The French Connection,The French Connection
Kotch,Kotch
The Hospital,The Hospital
Fiddler on the Roof,Fiddler on the Roof
The Last Picture Show,The Last Picture Show
Sometimes a Great Notion,Sometimes a Great Notion
McCabe & Mrs. Miller,McCabe & Mrs. Miller
Klute,Klute
"Mary, Queen of Scots","Mary, Queen of Scots"
Nicholas and Alexandra,Nicholas and Alexandra
Carnal Knowledge,Carnal Knowledge
Who Is Harry Kellerman and Why Is He Saying Those Terrible Things about Me?,Who Is Harry Kellerman and Why Is He Saying Those Terrible Things about Me?
The Go-Between,The Go-Between
A Clockwork Orange,A Clockwork Orange
The Godfather,The Godfather
Sleuth,Sleuth
The Ruling Class,The Ruling Class
Sounder,Sounder
The Heartbreak Kid,The Heartbreak Kid
Cabaret,Cabaret
Lady Sings the Blues,Lady Sings the Blues
Travels with My Aunt,Travels with My Aunt
The Emigrants,The Emigrants
Butterflies Are Free,Butterflies Are Free
Pete 'n' Tillie,Pete 'n' Tillie
Fat City,Fat City
The Poseidon Adventure,The Poseidon Adventure
Deliverance,Deliverance
Last Tango in Paris,Last Tango in Paris
Save the Tiger,Save the Tiger
The Last Detail,The Last Detail
Serpico,Serpico
The Sting,The Sting
Bang the Drum Slowly,Bang the Drum Slowly
The Paper Chase,The Paper Chase
The Exorcist,The Exorcist
A Touch of Class,A Touch of Class
Cinderella Liberty,Cinderella Liberty
The Way We Were,The Way We Were
"Summer Wishes, Winter Dreams","Summer Wishes, Winter Dreams"
American Graffiti,American Graffiti
Paper Moon,Paper Moon
Cries and Whispers,Cries and Whispers
Harry and Tonto,Harry and Tonto
Murder on the Orient Express,Murder on the Orient Express
Lenny,Lenny
Chinatown,Chinatown
The Godfather Part II,The Godfather Part II
The Towering Inferno,The Towering Inferno
Thunderbolt and Lightfoot,Thunderbolt and Lightfoot
