Label,Id
Alice Doesn't Live Here Anymore,Alice Doesn't Live Here Anymore
Claudine,Claudine
A Woman under the Influence,A Woman under the Influence
Day for Night,Day for Night
Blazing Saddles,Blazing Saddles
The Sunshine Boys,The Sunshine Boys
One Flew over the Cuckoo's Nest,One Flew over the Cuckoo's Nest
Dog Day Afternoon,Dog Day Afternoon
The Man in the Glass Booth,The Man in the Glass Booth
"Give 'em Hell, Harry!","Give 'em Hell, Harry!"
The Day of the Locust,The Day of the Locust
Shampoo,Shampoo
The Story of Adele H.,The Story of Adele H.
Tommy,Tommy
Hedda,Hedda
Hester Street,Hester Street
Nashville,Nashville
"Farewell, My Lovely","Farewell, My Lovely"
Jacqueline Susann's Once Is Not Enough,Jacqueline Susann's Once Is Not Enough
Amarcord,Amarcord
Barry Lyndon,Barry Lyndon
Taxi Driver,Taxi Driver
Network,Network
Seven Beauties,Seven Beauties
Rocky,Rocky
Marathon Man,Marathon Man
All the President's Men,All the President's Men
"Cousin, Cousine","Cousin, Cousine"
Carrie,Carrie
Face to Face,Face to Face
Voyage of the Damned,Voyage of the Damned
Annie Hall,Annie Hall
Equus,Equus
The Goodbye Girl,The Goodbye Girl
A Special Day,A Special Day
Saturday Night Fever,Saturday Night Fever
The Turning Point,The Turning Point
Star Wars,Star Wars
Julia,Julia
Close Encounters of the Third Kind,Close Encounters of the Third Kind
Looking for Mr. Goodbar,Looking for Mr. Goodbar
The Buddy Holly Story,The Buddy Holly Story
The Deer Hunter,The Deer Hunter
The Boys from Brazil,The Boys from Brazil
Coming Home,Coming Home
Comes a Horseman,Comes a Horseman
Midnight Express,Midnight Express
Autumn Sonata,Autumn Sonata
"Same Time, Next Year","Same Time, Next Year"
An Unmarried Woman,An Unmarried Woman
Interiors,Interiors
California Suite,California Suite
Kramer vs. Kramer,Kramer vs. Kramer
The China Syndrome,The China Syndrome
...And Justice for All,...And Justice for All
All That Jazz,All That Jazz
Being There,Being There
Apocalypse Now,Apocalypse Now
The Rose,The Rose
The Black Stallion,The Black Stallion
Starting Over,Starting Over
Norma Rae,Norma Rae
Chapter Two,Chapter Two
Breaking Away,Breaking Away
Manhattan,Manhattan
La Cage aux Folles,La Cage aux Folles
Raging Bull,Raging Bull
The Great Santini,The Great Santini
The Elephant Man,The Elephant Man
Tribute,Tribute
The Stunt Man,The Stunt Man
Ordinary People,Ordinary People
Melvin and Howard,Melvin and Howard
Resurrection,Resurrection
Private Benjamin,Private Benjamin
Gloria,Gloria
Coal Miner's Daughter,Coal Miner's Daughter
Inside Moves,Inside Moves
Tess,Tess
Reds,Reds
On Golden Pond,On Golden Pond
Atlantic City,Atlantic City
Arthur,Arthur
Absence of Malice,Absence of Malice
Only When I Laugh,Only When I Laugh
Chariots of Fire,Chariots of Fire
Ragtime,Ragtime
The French Lieutenant's Woman,The French Lieutenant's Woman
Raiders of the Lost Ark,Raiders of the Lost Ark
Tootsie,Tootsie
Gandhi,Gandhi
Missing,Missing
The Verdict,The Verdict
My Favorite Year,My Favorite Year
The Best Little Whorehouse in Texas,The Best Little Whorehouse in Texas
An Officer and a Gentleman,An Officer and a Gentleman
The World According to Garp,The World According to Garp
Victor/Victoria,Victor/Victoria
Frances,Frances
Sophie's Choice,Sophie's Choice
Das Boot,Das Boot
E.T. The Extra-Terrestrial,E.T. The Extra-Terrestrial
Educating Rita,Educating Rita
"Reuben, Reuben","Reuben, Reuben"
The Dresser,The Dresser
Tender Mercies,Tender Mercies
To Be or Not to Be,To Be or Not to Be
Terms of Endearment,Terms of Endearment
The Right Stuff,The Right Stuff
Cross Creek,Cross Creek
Testament,Testament
Silkwood,Silkwood
The Big Chill,The Big Chill
The Year of Living Dangerously,The Year of Living Dangerously
Yentl,Yentl
Fanny & Alexander,Fanny & Alexander
Amadeus,Amadeus
Starman,Starman
Under the Volcano,Under the Volcano
The Killing Fields,The Killing Fields
A Soldier's Story,A Soldier's Story
Places in the Heart,Places in the Heart
The Karate Kid,The Karate Kid
"Greystoke: The Legend of Tarzan, Lord of the Apes","Greystoke: The Legend of Tarzan, Lord of the Apes"
A Passage to India,A Passage to India
Country,Country
The Bostonians,The Bostonians
The River,The River
The Natural,The Natural
Swing Shift,Swing Shift
The Pope of Greenwich Village,The Pope of Greenwich Village
Broadway Danny Rose,Broadway Danny Rose
Witness,Witness
Murphy's Romance,Murphy's Romance
Kiss of the Spider Woman,Kiss of the Spider Woman
Prizzi's Honor,Prizzi's Honor
Runaway Train,Runaway Train
Cocoon,Cocoon
Out of Africa,Out of Africa
Jagged Edge,Jagged Edge
Agnes of God,Agnes of God
The Color Purple,The Color Purple
Sweet Dreams,Sweet Dreams
The Trip to Bountiful,The Trip to Bountiful
Twice in a Lifetime,Twice in a Lifetime
Ran,Ran
'Round Midnight,'Round Midnight
Mona Lisa,Mona Lisa
Children of a Lesser God,Children of a Lesser God
The Color of Money,The Color of Money
Salvador,Salvador
Platoon,Platoon
Hannah and Her Sisters,Hannah and Her Sisters
A Room with a View,A Room with a View
Hoosiers,Hoosiers
The Morning After,The Morning After
Crimes of the Heart,Crimes of the Heart
Peggy Sue Got Married,Peggy Sue Got Married
Aliens,Aliens
Blue Velvet,Blue Velvet
The Mission,The Mission
Wall Street,Wall Street
Broadcast News,Broadcast News
Dark Eyes,Dark Eyes
Ironweed,Ironweed
"Good Morning, Vietnam","Good Morning, Vietnam"
The Untouchables,The Untouchables
Street Smart,Street Smart
Moonstruck,Moonstruck
Cry Freedom,Cry Freedom
Fatal Attraction,Fatal Attraction
Anna,Anna
Gaby - A True Story,Gaby - A True Story
Throw Momma from the Train,Throw Momma from the Train
The Whales of August,The Whales of August
Hope and Glory,Hope and Glory
The Last Emperor,The Last Emperor
My Life as a Dog,My Life as a Dog
Mississippi Burning,Mississippi Burning
Big,Big
Rain Man,Rain Man
Stand and Deliver,Stand and Deliver
Pelle the Conqueror,Pelle the Conqueror
Little Dorrit,Little Dorrit
A Fish Called Wanda,A Fish Called Wanda
Tucker The Man and His Dream,Tucker The Man and His Dream
Running on Empty,Running on Empty
Married to the Mob,Married to the Mob
Dangerous Liaisons,Dangerous Liaisons
The Accused,The Accused
Working Girl,Working Girl
A Cry in the Dark,A Cry in the Dark
Gorillas in the Mist,Gorillas in the Mist
The Accidental Tourist,The Accidental Tourist
The Last Temptation of Christ,The Last Temptation of Christ
Born on the Fourth of July,Born on the Fourth of July
My Left Foot,My Left Foot
Driving Miss Daisy,Driving Miss Daisy
Dead Poets Society,Dead Poets Society
Do the Right Thing,Do the Right Thing
A Dry White Season,A Dry White Season
Crimes and Misdemeanors,Crimes and Misdemeanors
Glory,Glory
Camille Claudel,Camille Claudel
Shirley Valentine,Shirley Valentine
Music Box,Music Box
The Fabulous Baker Boys,The Fabulous Baker Boys
"Enemies, A Love Story","Enemies, A Love Story"
Steel Magnolias,Steel Magnolias
Parenthood,Parenthood
Dances With Wolves,Dances With Wolves
Awakenings,Awakenings
The Field,The Field
Reversal of Fortune,Reversal of Fortune
Longtime Companion,Longtime Companion
"The Godfather, Part III","The Godfather, Part III"
Dick Tracy,Dick Tracy
Good Fellas,Good Fellas
Misery,Misery
The Grifters,The Grifters
Pretty Woman,Pretty Woman
Postcards from the Edge,Postcards from the Edge
Mr. & Mrs. Bridge,Mr. & Mrs. Bridge
Ghost,Ghost
Wild at Heart,Wild at Heart
Bugsy,Bugsy
Cape Fear,Cape Fear
The Silence of the Lambs,The Silence of the Lambs
The Prince of Tides,The Prince of Tides
The Fisher King,The Fisher King
JFK,JFK
Barton Fink,Barton Fink
City Slickers,City Slickers
Thelma & Louise,Thelma & Louise
Rambling Rose,Rambling Rose
For the Boys,For the Boys
Fried Green Tomatoes,Fried Green Tomatoes
Boyz N the Hood,Boyz N the Hood
Chaplin,Chaplin
Unforgiven,Unforgiven
Scent of a Woman,Scent of a Woman
The Crying Game,The Crying Game
Malcolm X,Malcolm X
A Few Good Men,A Few Good Men
Glengarry Glen Ross,Glengarry Glen Ross
Mr. Saturday Night,Mr. Saturday Night
Indochine,Indochine
Passion Fish,Passion Fish
Love Field,Love Field
Lorenzo's Oil,Lorenzo's Oil
Howards End,Howards End
Husbands and Wives,Husbands and Wives
Enchanted April,Enchanted April
Damage,Damage
My Cousin Vinny,My Cousin Vinny
The Player,The Player
In the Name of the Father,In the Name of the Father
What's Love Got to Do with It,What's Love Got to Do with It
Philadelphia,Philadelphia
The Remains of the Day,The Remains of the Day
Schindler's List,Schindler's List
What's Eating Gilbert Grape,What's Eating Gilbert Grape
The Fugitive,The Fugitive
In the Line of Fire,In the Line of Fire
Six Degrees of Separation,Six Degrees of Separation
The Piano,The Piano
Shadowlands,Shadowlands
The Firm,The Firm
Fearless,Fearless
The Age of Innocence,The Age of Innocence
Short Cuts,Short Cuts
The Shawshank Redemption,The Shawshank Redemption
Forrest Gump,Forrest Gump
The Madness of King George,The Madness of King George
Nobody's Fool,Nobody's Fool
Pulp Fiction,Pulp Fiction
Ed Wood,Ed Wood
Bullets over Broadway,Bullets over Broadway
Quiz Show,Quiz Show
Nell,Nell
Blue Sky,Blue Sky
Tom & Viv,Tom & Viv
The Client,The Client
Red,Red
Leaving Las Vegas,Leaving Las Vegas
Mr. Holland's Opus,Mr. Holland's Opus
Nixon,Nixon
Dead Man Walking,Dead Man Walking
The Postman (Il Postino),The Postman (Il Postino)
Babe,Babe
Apollo 13,Apollo 13
12 Monkeys,12 Monkeys
Rob Roy,Rob Roy
The Usual Suspects,The Usual Suspects
Casino,Casino
The Bridges of Madison County,The Bridges of Madison County
Sense and Sensibility,Sense and Sensibility
Mighty Aphrodite,Mighty Aphrodite
Georgia,Georgia
Braveheart,Braveheart
Jerry Maguire,Jerry Maguire
The English Patient,The English Patient
The People vs. Larry Flynt,The People vs. Larry Flynt
Shine,Shine
Sling Blade,Sling Blade
Fargo,Fargo
Primal Fear,Primal Fear
Ghosts of Mississippi,Ghosts of Mississippi
Secrets & Lies,Secrets & Lies
Marvin's Room,Marvin's Room
Breaking the Waves,Breaking the Waves
The Crucible,The Crucible
The Mirror Has Two Faces,The Mirror Has Two Faces
The Portrait of a Lady,The Portrait of a Lady
Good Will Hunting,Good Will Hunting
The Apostle,The Apostle
Ulee's Gold,Ulee's Gold
Wag the Dog,Wag the Dog
As Good as It Gets,As Good as It Gets
Jackie Brown,Jackie Brown
Amistad,Amistad
Boogie Nights,Boogie Nights
The Wings of the Dove,The Wings of the Dove
Afterglow,Afterglow
Mrs. Brown,Mrs. Brown
Titanic,Titanic
L.A. Confidential,L.A. Confidential
In & Out,In & Out
The Full Monty,The Full Monty
The Sweet Hereafter,The Sweet Hereafter
Life Is Beautiful,Life Is Beautiful
Saving Private Ryan,Saving Private Ryan
Gods and Monsters,Gods and Monsters
Affliction,Affliction
American History X,American History X
A Civil Action,A Civil Action
The Truman Show,The Truman Show
Shakespeare in Love,Shakespeare in Love
A Simple Plan,A Simple Plan
Elizabeth,Elizabeth
Central Station,Central Station
One True Thing,One True Thing
Hilary and Jackie,Hilary and Jackie
Primary Colors,Primary Colors
Little Voice,Little Voice
The Thin Red Line,The Thin Red Line
The Insider,The Insider
The Straight Story,The Straight Story
Sweet and Lowdown,Sweet and Lowdown
American Beauty,American Beauty
The Cider House Rules,The Cider House Rules
Magnolia,Magnolia
The Green Mile,The Green Mile
The Talented Mr. Ripley,The Talented Mr. Ripley
The Sixth Sense,The Sixth Sense
Tumbleweeds,Tumbleweeds
The End of the Affair,The End of the Affair
Music of the Heart,Music of the Heart
Boys Don't Cry,Boys Don't Cry
"Girl, Interrupted","Girl, Interrupted"
Being John Malkovich,Being John Malkovich
Before Night Falls,Before Night Falls
Gladiator,Gladiator
Cast Away,Cast Away
Pollock,Pollock
Quills,Quills
The Contender,The Contender
Shadow of the Vampire,Shadow of the Vampire
Traffic,Traffic
Erin Brockovich,Erin Brockovich
Chocolat,Chocolat
Requiem for a Dream,Requiem for a Dream
You Can Count on Me,You Can Count on Me
Almost Famous,Almost Famous
Billy Elliot,Billy Elliot
"Crouching Tiger, Hidden Dragon","Crouching Tiger, Hidden Dragon"
A Beautiful Mind,A Beautiful Mind
I Am Sam,I Am Sam
Ali,Ali
Training Day,Training Day
In the Bedroom,In the Bedroom
Iris,Iris
Sexy Beast,Sexy Beast
The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings: The Fellowship of the Ring
Monster's Ball,Monster's Ball
Bridget Jones's Diary,Bridget Jones's Diary
Gosford Park,Gosford Park
Black Hawk Down,Black Hawk Down
Mulholland Drive,Mulholland Drive
The Pianist,The Pianist
Adaptation,Adaptation
The Quiet American,The Quiet American
Gangs of New York,Gangs of New York
About Schmidt,About Schmidt
The Hours,The Hours
Road to Perdition,Road to Perdition
Chicago,Chicago
Catch Me If You Can,Catch Me If You Can
Frida,Frida
Unfaithful,Unfaithful
Far from Heaven,Far from Heaven
Talk to Her,Talk to Her
Pirates of the Caribbean: The Curse of the Black Pearl,Pirates of the Caribbean: The Curse of the Black Pearl
House of Sand and Fog,House of Sand and Fog
Cold Mountain,Cold Mountain
Lost in Translation,Lost in Translation
Mystic River,Mystic River
The Cooler,The Cooler
21 Grams,21 Grams
In America,In America
The Last Samurai,The Last Samurai
Whale Rider,Whale Rider
Something's Gotta Give,Something's Gotta Give
Monster,Monster
Pieces of April,Pieces of April
Thirteen,Thirteen
City of God,City of God
The Lord of the Rings: The Return of the King,The Lord of the Rings: The Return of the King
Master and Commander: The Far Side of the World,Master and Commander: The Far Side of the World
Hotel Rwanda,Hotel Rwanda
Finding Neverland,Finding Neverland
The Aviator,The Aviator
Million Dollar Baby,Million Dollar Baby
Ray,Ray
Sideways,Sideways
Collateral,Collateral
Closer,Closer
Being Julia,Being Julia
Maria Full of Grace,Maria Full of Grace
Vera Drake,Vera Drake
Eternal Sunshine of the Spotless Mind,Eternal Sunshine of the Spotless Mind
Kinsey,Kinsey
Capote,Capote
Hustle & Flow,Hustle & Flow
Brokeback Mountain,Brokeback Mountain
Walk the Line,Walk the Line
"Good Night, and Good Luck.","Good Night, and Good Luck."
Syriana,Syriana
Crash,Crash
Cinderella Man,Cinderella Man
A History of Violence,A History of Violence
Mrs. Henderson Presents,Mrs. Henderson Presents
Transamerica,Transamerica
Pride & Prejudice,Pride & Prejudice
North Country,North Country
Junebug,Junebug
The Constant Gardener,The Constant Gardener
Munich,Munich
Blood Diamond,Blood Diamond
Half Nelson,Half Nelson
Venus,Venus
The Pursuit of Happyness,The Pursuit of Happyness
The Last King of Scotland,The Last King of Scotland
Little Miss Sunshine,Little Miss Sunshine
Little Children,Little Children
Dreamgirls,Dreamgirls
The Departed,The Departed
Volver,Volver
Notes on a Scandal,Notes on a Scandal
The Queen,The Queen
The Devil Wears Prada,The Devil Wears Prada
Babel,Babel
Letters from Iwo Jima,Letters from Iwo Jima
United 93,United 93
Michael Clayton,Michael Clayton
There Will Be Blood,There Will Be Blood
Sweeney Todd The Demon Barber of Fleet Street,Sweeney Todd The Demon Barber of Fleet Street
In the Valley of Elah,In the Valley of Elah
Eastern Promises,Eastern Promises
The Assassination of Jesse James by the Coward Robert Ford,The Assassination of Jesse James by the Coward Robert Ford
No Country for Old Men,No Country for Old Men
Charlie Wilson's War,Charlie Wilson's War
Into the Wild,Into the Wild
Elizabeth: The Golden Age,Elizabeth: The Golden Age
Away from Her,Away from Her
La Vie en Rose,La Vie en Rose
The Savages,The Savages
Juno,Juno
I'm Not There,I'm Not There
American Gangster,American Gangster
Atonement,Atonement
Gone Baby Gone,Gone Baby Gone
The Diving Bell and the Butterfly,The Diving Bell and the Butterfly
The Visitor,The Visitor
Frost/Nixon,Frost/Nixon
Milk,Milk
The Curious Case of Benjamin Button,The Curious Case of Benjamin Button
The Wrestler,The Wrestler
Tropic Thunder,Tropic Thunder
Doubt,Doubt
The Dark Knight,The Dark Knight
Revolutionary Road,Revolutionary Road
Rachel Getting Married,Rachel Getting Married
Changeling,Changeling
Frozen River,Frozen River
The Reader,The Reader
Vicky Cristina Barcelona,Vicky Cristina Barcelona
Slumdog Millionaire,Slumdog Millionaire
Crazy Heart,Crazy Heart
Up in the Air,Up in the Air
A Single Man,A Single Man
Invictus,Invictus
The Hurt Locker,The Hurt Locker
The Messenger,The Messenger
The Last Station,The Last Station
The Lovely Bones,The Lovely Bones
Inglourious Basterds,Inglourious Basterds
The Blind Side,The Blind Side
An Education,An Education
Precious: Based on the Novel 'Push' by Sapphire,Precious: Based on the Novel 'Push' by Sapphire
Julie & Julia,Julie & Julia
Nine,Nine
Avatar,Avatar
Biutiful,Biutiful
The Social Network,The Social Network
The King's Speech,The King's Speech
127 Hours,127 Hours
The Fighter,The Fighter
Winter's Bone,Winter's Bone
The Town,The Town
The Kids Are All Right,The Kids Are All Right
Rabbit Hole,Rabbit Hole
Black Swan,Black Swan
Blue Valentine,Blue Valentine
Animal Kingdom,Animal Kingdom
A Better Life,A Better Life
The Descendants,The Descendants
The Artist,The Artist
Tinker Tailor Soldier Spy,Tinker Tailor Soldier Spy
Moneyball,Moneyball
My Week with Marilyn,My Week with Marilyn
Warrior,Warrior
Beginners,Beginners
Extremely Loud & Incredibly Close,Extremely Loud & Incredibly Close
Albert Nobbs,Albert Nobbs
The Help,The Help
The Girl with the Dragon Tattoo,The Girl with the Dragon Tattoo
The Iron Lady,The Iron Lady
Bridesmaids,Bridesmaids
Hugo,Hugo
Midnight in Paris,Midnight in Paris
The Tree of Life,The Tree of Life
Silver Linings Playbook,Silver Linings Playbook
Lincoln,Lincoln
Les Misérables,Les Misérables
The Master,The Master
Flight,Flight
Argo,Argo
Django Unchained,Django Unchained
Zero Dark Thirty,Zero Dark Thirty
Amour,Amour
Beasts of the Southern Wild,Beasts of the Southern Wild
The Impossible,The Impossible
The Sessions,The Sessions
Life of Pi,Life of Pi
American Hustle,American Hustle
Nebraska,Nebraska
The Wolf of Wall Street,The Wolf of Wall Street
12 Years a Slave,12 Years a Slave
Dallas Buyers Club,Dallas Buyers Club
Captain Phillips,Captain Phillips
Blue Jasmine,Blue Jasmine
Gravity,Gravity
Philomena,Philomena
August: Osage County,August: Osage County
Foxcatcher,Foxcatcher
American Sniper,American Sniper
The Imitation Game,The Imitation Game
Birdman or (The Unexpected Virtue of Ignorance),Birdman or (The Unexpected Virtue of Ignorance)
The Theory of Everything,The Theory of Everything
The Judge,The Judge
Boyhood,Boyhood
Whiplash,Whiplash
"Two Days, One Night","Two Days, One Night"
Still Alice,Still Alice
Gone Girl,Gone Girl
Wild,Wild
Into the Woods,Into the Woods
The Grand Budapest Hotel,The Grand Budapest Hotel
Trumbo,Trumbo
The Martian,The Martian
The Revenant,The Revenant
Steve Jobs,Steve Jobs
The Danish Girl,The Danish Girl
The Big Short,The Big Short
Spotlight,Spotlight
Bridge of Spies,Bridge of Spies
Creed,Creed
Carol,Carol
Room,Room
Joy,Joy
45 Years,45 Years
Brooklyn,Brooklyn
The Hateful Eight,The Hateful Eight
Mad Max: Fury Road,Mad Max: Fury Road
Manchester by the Sea,Manchester by the Sea
Hacksaw Ridge,Hacksaw Ridge
La La Land,La La Land
Captain Fantastic,Captain Fantastic
Fences,Fences
Moonlight,Moonlight
Hell or High Water,Hell or High Water
Lion,Lion
Nocturnal Animals,Nocturnal Animals
Elle,Elle
Loving,Loving
Jackie,Jackie
Florence Foster Jenkins,Florence Foster Jenkins
Hidden Figures,Hidden Figures
Arrival,Arrival
Call Me by Your Name,Call Me by Your Name
Phantom Thread,Phantom Thread
Get Out,Get Out
Darkest Hour,Darkest Hour
"Roman J. Israel, Esq.","Roman J. Israel, Esq."
The Florida Project,The Florida Project
"Three Billboards outside Ebbing, Missouri","Three Billboards outside Ebbing, Missouri"
The Shape of Water,The Shape of Water
All the Money in the World,All the Money in the World
"I, Tonya","I, Tonya"
Lady Bird,Lady Bird
The Post,The Post
Mudbound,Mudbound
Dunkirk,Dunkirk
Vice,Vice
At Eternity's Gate,At Eternity's Gate
Bohemian Rhapsody,Bohemian Rhapsody
Green Book,Green Book
BlacKkKlansman,BlacKkKlansman
Can You Ever Forgive Me?,Can You Ever Forgive Me?
Roma,Roma
The Wife,The Wife
The Favourite,The Favourite
If Beale Street Could Talk,If Beale Street Could Talk
Cold War,Cold War
Pain and Glory,Pain and Glory
Once upon a Time...in Hollywood,Once upon a Time...in Hollywood
Marriage Story,Marriage Story
Joker,Joker
The Two Popes,The Two Popes
A Beautiful Day in the Neighborhood,A Beautiful Day in the Neighborhood
The Irishman,The Irishman
Harriet,Harriet
Bombshell,Bombshell
Judy,Judy
Richard Jewell,Richard Jewell
Jojo Rabbit,Jojo Rabbit
1917,1917
Parasite,Parasite
